               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.043869,            0.020795,            0.031073,             0.36209,             0.47419,             0.36172,             0.17014,            0.047549,           0.0095348,            0.029701,            0.008845,            0.008845,            0.008845
                  37,            0.043985,            0.017367,             0.03494,             0.52382,             0.39918,             0.46684,             0.27571,            0.045267,           0.0084553,             0.02863,            0.008812,            0.008812,            0.008812
                  38,            0.042724,            0.019425,            0.033685,             0.51418,             0.55946,              0.5629,             0.33524,            0.044187,           0.0080318,             0.02418,            0.008779,            0.008779,            0.008779
                  39,            0.044391,            0.020221,            0.030606,             0.45151,             0.65155,             0.65419,             0.34406,            0.040034,            0.007535,             0.02315,            0.008746,            0.008746,            0.008746
                  40,            0.043462,            0.018148,            0.029869,              0.5394,             0.59847,             0.61004,             0.31894,            0.041435,           0.0072107,            0.023343,            0.008713,            0.008713,            0.008713
                  41,            0.042938,            0.018377,            0.028652,             0.60541,             0.65945,             0.68558,             0.37705,            0.039069,           0.0072174,            0.022831,             0.00868,             0.00868,             0.00868
                  42,            0.042481,            0.015615,            0.028721,             0.70884,             0.54286,             0.59382,             0.36596,            0.041614,           0.0084114,            0.023088,            0.008647,            0.008647,            0.008647
                  43,            0.043304,            0.018998,             0.02807,             0.68007,             0.56266,             0.70143,             0.47528,            0.037449,            0.007432,            0.022755,            0.008614,            0.008614,            0.008614
                  44,             0.03966,            0.018224,            0.027478,             0.59344,             0.68705,             0.69917,              0.4355,            0.034186,           0.0077972,            0.023291,            0.008581,            0.008581,            0.008581
                  45,             0.03968,            0.018167,            0.027777,             0.64128,             0.73647,             0.73913,             0.44112,            0.041895,           0.0076733,             0.02009,            0.008548,            0.008548,            0.008548
                  46,             0.04065,            0.017056,            0.027132,             0.62459,             0.72158,             0.72053,             0.42888,            0.040479,           0.0077662,             0.01884,            0.008515,            0.008515,            0.008515
                  47,            0.042599,            0.016818,            0.022959,             0.68242,             0.75252,             0.78038,             0.47712,            0.041928,           0.0070333,            0.017226,            0.008482,            0.008482,            0.008482
                  48,            0.043619,            0.018867,            0.021599,             0.77367,             0.67149,              0.7591,             0.43772,            0.040796,           0.0071573,            0.017607,            0.008449,            0.008449,            0.008449
                  49,             0.04358,            0.017435,             0.02437,             0.60393,              0.6584,             0.59748,             0.32243,            0.045629,           0.0076189,            0.022625,            0.008416,            0.008416,            0.008416
                  50,            0.040611,            0.014705,            0.021983,             0.72898,             0.67491,             0.76183,              0.4585,            0.036426,           0.0066271,            0.018431,            0.008383,            0.008383,            0.008383
                  51,            0.041229,            0.016049,            0.022766,             0.68494,             0.75121,             0.78906,             0.46574,            0.036496,            0.006206,            0.017013,             0.00835,             0.00835,             0.00835
                  52,            0.040201,            0.017572,            0.018577,             0.79148,             0.69873,             0.83536,             0.55395,            0.034992,           0.0060453,            0.016231,            0.008317,            0.008317,            0.008317
                  53,             0.04058,            0.015435,             0.01973,             0.68254,             0.77879,             0.81974,             0.43652,            0.038108,           0.0062056,            0.015089,            0.008284,            0.008284,            0.008284
                  54,            0.039186,            0.015888,            0.019148,             0.73739,             0.70689,             0.79017,             0.47959,            0.038252,           0.0058942,            0.015309,            0.008251,            0.008251,            0.008251
                  55,            0.041776,            0.017803,            0.019901,             0.81985,             0.72222,             0.86338,             0.60941,            0.033962,           0.0062351,            0.015247,            0.008218,            0.008218,            0.008218
                  56,             0.03887,            0.015899,            0.020538,              0.7419,             0.69315,             0.85497,             0.56491,            0.034754,           0.0060563,            0.014989,            0.008185,            0.008185,            0.008185
                  57,            0.039104,            0.015815,            0.019387,             0.74219,             0.69488,             0.83689,             0.46815,            0.040438,           0.0070186,            0.015089,            0.008152,            0.008152,            0.008152
                  58,            0.038634,            0.015443,            0.016394,             0.83927,             0.69219,              0.8885,             0.57379,            0.038189,            0.006669,            0.013582,            0.008119,            0.008119,            0.008119
                  59,            0.038543,            0.015734,            0.017265,             0.85332,             0.71592,             0.91187,             0.61201,            0.034872,           0.0063615,            0.013153,            0.008086,            0.008086,            0.008086
                  60,            0.038121,            0.014667,            0.015726,             0.86193,             0.75962,             0.92478,             0.64824,            0.030919,           0.0063176,            0.013711,            0.008053,            0.008053,            0.008053
                  61,            0.037016,            0.016503,            0.016928,             0.84774,              0.6814,             0.88515,             0.55629,            0.037766,           0.0060134,            0.013106,             0.00802,             0.00802,             0.00802
                  62,            0.040821,            0.016691,            0.015244,             0.84841,             0.78011,             0.90996,             0.59166,            0.038356,           0.0057664,            0.012404,            0.007987,            0.007987,            0.007987
                  63,            0.041057,            0.016514,            0.016524,             0.90588,              0.7068,             0.90228,             0.61504,            0.031607,           0.0064464,            0.013606,            0.007954,            0.007954,            0.007954
                  64,            0.037109,            0.015658,            0.013856,             0.78279,             0.65307,             0.86116,             0.56107,            0.036935,           0.0072474,            0.014553,            0.007921,            0.007921,            0.007921
                  65,             0.03891,            0.016247,            0.015824,             0.64065,             0.65579,             0.75214,             0.38825,            0.042182,           0.0081453,            0.016864,            0.007888,            0.007888,            0.007888
                  66,             0.03673,            0.016262,             0.01479,             0.92936,             0.58272,             0.82232,             0.57055,            0.034838,           0.0078187,            0.016461,            0.007855,            0.007855,            0.007855
                  67,             0.03516,            0.017215,            0.014828,             0.83023,             0.61201,             0.79264,             0.59032,            0.035726,           0.0074368,            0.015074,            0.007822,            0.007822,            0.007822
                  68,            0.039176,            0.015431,            0.015523,             0.77578,             0.77212,             0.89494,             0.64495,            0.032844,           0.0060806,            0.011441,            0.007789,            0.007789,            0.007789
                  69,            0.037799,            0.015883,            0.015213,              0.7613,             0.73811,             0.91027,             0.63268,            0.034474,           0.0056973,            0.010406,            0.007756,            0.007756,            0.007756
                  70,            0.036699,            0.015333,            0.012672,             0.87112,             0.72549,               0.888,             0.62987,            0.029696,           0.0058193,            0.011681,            0.007723,            0.007723,            0.007723
                  71,            0.036753,            0.016011,            0.014773,             0.80131,             0.75179,             0.91415,             0.66307,            0.032265,           0.0060925,            0.010029,             0.00769,             0.00769,             0.00769
                  72,            0.038002,             0.01392,            0.014285,             0.89126,              0.7464,             0.94514,             0.67015,            0.031311,           0.0059824,           0.0098268,            0.007657,            0.007657,            0.007657
                  73,            0.034926,            0.013582,            0.012701,             0.82008,              0.7298,             0.89776,             0.63408,            0.033978,           0.0060496,           0.0094328,            0.007624,            0.007624,            0.007624
                  74,            0.036132,            0.015784,            0.012954,             0.87006,             0.78835,             0.95313,             0.67424,            0.031549,           0.0058818,           0.0088328,            0.007591,            0.007591,            0.007591
                  75,            0.034672,            0.014352,            0.011351,             0.88671,             0.74239,             0.94406,             0.65589,            0.033888,           0.0057764,           0.0083839,            0.007558,            0.007558,            0.007558
                  76,            0.036776,            0.013667,            0.012493,             0.91004,             0.77109,               0.978,             0.72499,            0.030992,           0.0056047,           0.0084483,            0.007525,            0.007525,            0.007525
